,id,first_name,web_name,team,team_code,now_cost,photo,total_points,value_season,minutes,ict_index_rank,element_type,bps,influence,creativity,threat,goals_scored,expected_goals,assists,expected_assists,form,selected_by_percent,selected_rank,chance_of_playing_next_round,chance_of_playing_this_round,expected_goals_per_90,expected_assists_per_90,influence_rank,creativity_rank,threat_rank,position,team_name,average_points,average_minutes,avg_points_per_min,goals_scored_last_season,goals_conceded_last_season,assists_last_season,minutes_last_season,clean_sheets_last_season,total_points_last_season,ict_index_last_season,influence_last_season,threat_last_season,creativity_last_season,red_cards_last_season,yellow_cards_last_season,starts_last_season,saves_last_season,penalties_saved_last_season,penalties_missed_last_season,average_win_perc_first_10
10,11,Marcus,Marquinhos,1,3,45,479683.jpg,0,0.0,0,556,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.1,443,0.0,0.0,0.0,0.0,547,548,528,Midfielder,Arsenal,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0.6824518802690159
11,12,Gabriel,Martinelli,1,3,80,444145.jpg,10,1.2,244,33,3,39,37.6,58.1,100.0,0,0.65,1,0.37,3.3,14.0,28,100.0,,0.24,0.14,140,37,16,Midfielder,Arsenal,114.66666666666667,1742.0,0.06582472254114045,15,33,9,2789,14,198,298.1,844.2,1300.0,838.1,14,3,34,0,0,0,0.6824518802690159
12,13,Eddie,Nketiah,1,3,56,205533.jpg,18,3.2,195,38,4,56,58.8,30.5,97.0,2,1.45,1,0.13,6.0,6.9,54,100.0,,0.67,0.06,62,102,19,Attacker,Arsenal,51.333333333333336,768.3333333333334,0.0668112798264642,4,16,2,1071,2,63,93.8,213.4,607.0,128.5,2,3,9,0,0,0,0.6824518802690159
13,14,Martin,Ødegaard,1,3,85,184029.jpg,15,1.8,262,36,3,53,68.4,55.6,65.0,1,1.05,0,0.32,5.0,23.1,15,100.0,,0.36,0.11,43,42,41,Midfielder,Arsenal,127.66666666666667,2258.3333333333335,0.05653136531365314,15,38,8,3132,13,212,304.9,971.8,934.0,1140.3,13,4,37,0,0,0,0.6824518802690159
14,15,Thomas,Thomas,1,3,50,167199.jpg,6,1.2,235,70,3,55,53.4,58.2,15.0,0,0.07,0,0.19,2.0,0.4,250,100.0,,0.03,0.07,79,36,147,Midfielder,Arsenal,68.0,2012.0,0.033797216699801194,3,28,0,2480,11,86,121.5,526.6,242.0,444.1,11,5,28,0,0,0,0.6824518802690159
15,16,Nicolas,Pepe,1,3,49,195735.jpg,0,0.0,0,612,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.1,449,100.0,,0.0,0.0,605,604,589,Midfielder,Arsenal,53.0,762.3333333333334,0.0695233930913861,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6824518802690159
16,17,Aaron,Ramsdale,1,3,50,225321.jpg,9,1.8,270,229,1,45,40.4,0.0,0.0,0,0.00,0,0.01,3.0,17.4,22,100.0,,0.0,0.0,123,640,630,Goalkeeper,Arsenal,133.66666666666666,3300.0,0.0405050505050505,0,43,0,3420,14,143,76.5,764.8,0.0,0.0,14,1,38,94,0,0,0.6824518802690159
17,18,Rúnar Alex,Rúnarsson,1,3,40,115918.jpg,0,0.0,0,370,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.2,351,0.0,0.0,0.0,0.0,359,347,304,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6824518802690159
18,19,Bukayo,Saka,1,3,86,223340.jpg,21,2.4,268,1,3,78,112.4,139.7,134.0,2,1.71,0,1.36,7.0,66.6,2,100.0,,0.57,0.46,8,8,3,Midfielder,Arsenal,165.0,2905.0,0.05679862306368331,14,42,12,3183,12,202,333.4,1014.2,1214.0,1106.1,12,6,37,0,0,1,0.6824518802690159
19,20,William,Saliba,1,3,52,462424.jpg,14,2.7,270,86,2,65,77.4,29.2,9.0,0,0.04,1,0.07,4.7,28.3,9,100.0,,0.01,0.02,32,107,191,Defender,Arsenal,39.0,805.0,0.0484472049689441,2,25,1,2415,12,117,74.5,529.0,114.0,100.8,12,4,27,0,0,0,0.6824518802690159
20,21,Albert,Sambi,1,3,49,437742.jpg,0,0.0,0,619,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,586,100.0,,0.0,0.0,612,611,599,Midfielder,Arsenal,0,0,0,0,8,0,728,2,23,17.6,98.4,20.0,57.2,2,2,8,0,0,0,0.6824518802690159
21,22,Emile,Smith Rowe,1,3,54,209289.jpg,0,0.0,0,660,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.1,375,100.0,,0.0,0.0,659,658,652,Midfielder,Arsenal,72.33333333333333,1169.3333333333333,0.06185860889395667,0,5,2,161,0,18,16.7,53.8,41.0,74.4,0,0,0,0,0,0,0.6824518802690159
22,23,Nuno,Tavares,1,3,40,437626.jpg,0,0.0,0,416,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.3,282,100.0,,0.0,0.0,405,394,354,Defender,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6824518802690159
23,24,Kieran,Tierney,1,3,44,192895.jpg,0,0.0,0,472,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.3,274,100.0,,0.0,0.0,462,451,413,Defender,Arsenal,79.66666666666667,1663.0,0.047905391862096615,0,10,1,774,1,37,30.0,144.6,67.0,86.1,1,0,6,0,0,0,0.6824518802690159
24,25,Takehiro,Tomiyasu,1,3,45,223723.jpg,4,0.9,106,263,2,22,10.0,8.1,9.0,0,0.03,0,0.05,1.3,0.2,309,100.0,0.0,0.03,0.04,262,212,188,Defender,Arsenal,0,0,0,0,11,1,651,2,32,27.7,137.0,55.0,86.6,2,2,6,0,0,0,0.6824518802690159
25,26,Leandro,Trossard,1,3,68,116216.jpg,2,0.3,62,141,3,18,14.8,54.7,10.0,0,0.00,0,0.69,0.7,2.9,103,100.0,,0.0,1.0,230,46,183,Midfielder,Arsenal,142.33333333333334,2547.3333333333335,0.055875425281339965,8,38,13,2237,8,154,225.2,666.0,875.0,711.4,8,1,26,0,0,0,0.6824518802690159
26,29,Benjamin,White,1,3,55,198869.jpg,9,1.6,270,104,2,52,57.2,43.9,6.0,0,0.00,0,0.15,3.0,9.4,41,100.0,,0.0,0.05,66,61,213,Defender,Arsenal,122.33333333333333,3042.0,0.04021477098400175,2,35,5,3054,15,156,130.8,655.4,159.0,492.5,15,5,36,0,0,0,0.6824518802690159
27,30,Granit,Xhaka,1,3,60,84450.jpg,0,0.0,0,675,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,620,0.0,0.0,0.0,0.0,675,675,673,Midfielder,Arsenal,94.33333333333333,2612.6666666666665,0.0361061495279408,7,35,8,2992,13,153,194.8,715.0,556.0,675.5,13,4,36,0,0,0,0.6824518802690159
28,31,Oleksandr,Zinchenko,1,3,49,206325.jpg,2,0.4,35,234,2,13,7.4,24.7,4.0,0,0.00,0,0.03,0.7,5.2,74,100.0,,0.0,0.08,279,124,225,Defender,Arsenal,75.66666666666667,1546.3333333333333,0.04893295968958828,1,28,2,2122,10,99,98.3,405.0,190.0,387.7,10,3,26,0,0,0,0.6824518802690159
29,113,David,Raya,1,3,49,154561.jpg,0,0.0,0,605,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,3.0,100,100.0,,0.0,0.0,596,596,580,Goalkeeper,Arsenal,0,0,0,0,46,0,3420,12,166,117.3,1146.0,4.0,20.1,12,1,38,154,0,0,0.6824518802690159
30,540,Declan,Rice,1,3,55,204480.jpg,7,1.3,270,68,3,58,63.2,31.3,33.0,0,0.25,0,0.33,2.3,5.4,72,100.0,,0.08,0.11,54,97,88,Midfielder,Arsenal,99.0,3110.0,0.031832797427652736,4,50,3,3272,9,116,155.5,789.0,226.0,539.3,9,5,36,0,0,1,0.6824518802690159
31,578,Reiss,Nelson,1,3,50,200641.jpg,0,0.0,0,637,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,544,100.0,100.0,0.0,0.0,634,633,622,Midfielder,Arsenal,15.0,97.0,0.15463917525773196,3,3,3,202,1,42,48.0,179.8,178.0,121.9,1,0,0,0,0,0,0.6824518802690159
32,585,Jurriën,J.Timber,1,3,48,445122.jpg,0,0.0,49,324,2,3,3.6,2.4,0.0,0,0.00,0,0.01,0.0,1.2,154,0.0,0.0,0.0,0.02,306,251,563,Defender,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6824518802690159
33,646,Karl,Hein,1,3,40,463748.jpg,0,0.0,0,430,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,562,100.0,,0.0,0.0,419,408,368,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.6824518802690159
34,32,Alexandre,Alex Moreno,2,7,50,106468.jpg,0,0.0,0,629,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,523,0.0,0.0,0.0,0.0,625,623,610,Defender,Aston Villa,0,0,0,0,10,3,1325,7,72,72.3,254.4,151.0,321.1,7,3,14,0,0,0,0.5577075416729999
35,33,Cameron,Archer,2,7,45,433979.jpg,0,0.0,5,332,4,-1,0.0,4.3,0.0,0,0.00,0,0.00,0.0,5.0,75,100.0,,0.0,0.0,532,240,511,Attacker,Aston Villa,0,0,0,0,1,0,43,0,6,0.9,1.8,6.0,2.4,0,0,0,0,0,0,0.5577075416729999
36,34,Leon,Bailey,2,7,55,215711.jpg,15,2.7,107,118,3,40,50.2,17.0,31.0,1,0.32,1,0.69,5.0,2.1,127,100.0,,0.27,0.58,86,157,94,Midfielder,Aston Villa,0,0,0,4,32,5,1964,8,100,132.8,339.6,540.0,452.8,8,4,26,0,0,0,0.5577075416729999
37,35,Emiliano,Buendia,2,7,58,195546.jpg,0,0.0,0,672,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.1,469,0.0,0.0,0.0,0.0,671,672,670,Midfielder,Aston Villa,0,0,0,5,34,3,2404,11,117,158.5,441.6,582.0,559.9,11,0,27,0,0,0,0.5577075416729999
38,36,Matty,Cash,2,7,45,199796.jpg,19,4.2,266,183,2,73,28.2,18.1,11.0,2,1.99,0,0.29,6.3,8.5,46,100.0,,0.67,0.1,175,154,173,Defender,Aston Villa,97.66666666666667,2522.3333333333335,0.03872076119994714,0,29,2,1817,4,57,54.9,303.0,67.0,178.3,4,4,20,0,0,0,0.5577075416729999
39,37,Calum,Chambers,2,7,40,101184.jpg,0,0.0,0,360,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,1.3,151,100.0,,0.0,0.0,349,337,294,Defender,Aston Villa,30.333333333333332,698.3333333333334,0.04343675417661098,0,4,0,345,0,13,11.1,74.4,8.0,29.8,0,2,2,0,0,0,0.5577075416729999
40,38,Philippe,Coutinho,2,7,59,84583.jpg,2,0.3,24,287,3,7,4.0,2.8,12.0,0,0.15,0,0.02,0.7,0.4,248,25.0,25.0,0.56,0.08,302,247,171,Midfielder,Aston Villa,0,0,0,1,9,0,777,3,32,48.8,119.2,218.0,152.5,3,3,7,0,0,0,0.5577075416729999
41,39,Keinan,Davis,2,7,50,221239.jpg,0,0.0,0,642,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.3,287,100.0,,0.0,0.0,639,639,629,Attacker,Aston Villa,8.0,92.0,0.08695652173913043,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
42,40,Leander,Dendoncker,2,7,49,151589.jpg,0,0.0,0,604,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,614,0.0,0.0,0.0,0.0,595,595,579,Midfielder,Aston Villa,63.333333333333336,1780.0,0.03558052434456929,0,14,0,897,4,37,30.6,143.4,64.0,96.1,4,0,9,0,0,0,0.5577075416729999
43,41,Diego Carlos,Diego Carlos,2,7,45,165659.jpg,3,0.7,142,175,2,24,24.6,0.6,37.0,0,0.37,0,0.01,1.0,0.5,228,100.0,,0.23,0.01,189,292,74,Defender,Aston Villa,0,0,0,0,3,0,205,0,4,7.0,24.8,32.0,13.2,0,0,2,0,0,0,0.5577075416729999
44,42,Lucas,Digne,2,7,45,101188.jpg,14,3.1,260,116,2,60,28.0,62.9,7.0,0,0.02,2,0.28,4.7,2.8,106,100.0,,0.01,0.1,178,31,201,Defender,Aston Villa,84.33333333333333,2204.3333333333335,0.03825797671253591,1,25,0,1492,3,50,68.1,277.6,97.0,305.5,3,5,18,0,0,0,0.5577075416729999
45,43,Douglas Luiz,Douglas Luiz,2,7,55,230046.jpg,10,1.8,238,69,3,50,53.4,36.7,38.0,1,0.98,0,0.40,3.3,2.4,120,100.0,,0.37,0.15,80,83,72,Midfielder,Aston Villa,101.0,2806.0,0.03599429793300071,6,35,7,2922,13,142,162.7,698.4,261.0,668.6,13,6,33,0,0,0,0.5577075416729999
46,44,Jhon,Duran,2,7,50,476344.jpg,8,1.6,20,161,4,34,38.2,11.7,19.0,1,0.55,0,0.00,2.7,0.1,391,100.0,100.0,2.48,0.0,136,194,128,Attacker,Aston Villa,0,0,0,0,4,0,126,0,11,7.4,12.8,51.0,13.4,0,1,0,0,0,0,0.5577075416729999
47,45,Kortney,Hause,2,7,40,123354.jpg,0,0.0,0,374,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.2,319,100.0,,0.0,0.0,363,351,308,Defender,Aston Villa,17.333333333333332,342.3333333333333,0.05063291139240506,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
48,46,Tim,Iroegbunam,2,7,45,490094.jpg,0,0.0,0,563,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,564,0.0,0.0,0.0,0.0,554,554,535,Midfielder,Aston Villa,1.3333333333333333,30.0,0.04444444444444444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
49,47,Boubacar,Kamara,2,7,50,226944.jpg,7,1.4,270,230,3,45,9.0,21.9,9.0,0,0.05,0,0.08,2.3,0.1,408,100.0,,0.02,0.03,269,135,190,Midfielder,Aston Villa,0,0,0,0,30,1,1773,3,44,45.7,288.2,43.0,124.7,3,4,21,0,0,0,0.5577075416729999
50,48,Ezri,Konsa,2,7,45,199798.jpg,8,1.8,270,249,2,61,27.2,1.7,2.0,0,0.00,0,0.02,2.7,1.1,158,100.0,,0.0,0.01,183,262,250,Defender,Aston Villa,102.33333333333333,2998.0,0.034133867022459415,0,45,0,3322,12,110,75.7,568.4,72.0,116.2,12,6,37,0,0,0,0.5577075416729999
51,49,Emiliano,Martinez,2,7,50,98980.jpg,9,1.8,180,165,1,49,68.0,0.0,0.0,0,0.00,0,0.00,3.0,7.6,47,75.0,75.0,0.0,0.0,47,621,608,Goalkeeper,Aston Villa,150.0,3266.3333333333335,0.04592305337279314,0,38,0,3139,11,135,85.7,835.2,0.0,23.0,11,7,36,98,1,0,0.5577075416729999
52,50,John,McGinn,2,7,55,122806.jpg,14,2.5,243,112,3,54,44.6,22.4,33.0,1,0.86,0,0.27,4.7,0.6,205,100.0,,0.32,0.1,102,132,87,Midfielder,Aston Villa,104.66666666666667,3037.3333333333335,0.03446005267778753,1,31,5,2692,10,90,108.3,382.0,347.0,353.6,10,7,30,0,0,0,0.5577075416729999
53,51,Tyrone,Mings,2,7,43,149484.jpg,0,0.0,30,275,2,5,3.6,13.0,5.0,0,0.01,0,0.16,0.0,4.4,81,0.0,0.0,0.03,0.48,304,183,214,Defender,Aston Villa,125.33333333333333,3177.3333333333335,0.03944607637431808,1,40,3,3150,12,130,87.8,664.4,121.0,88.2,12,7,35,0,0,0,0.5577075416729999
54,53,Robin,Olsen,2,7,40,111782.jpg,2,0.5,90,368,1,12,0.0,0.0,0.0,0,0.00,0,0.00,0.7,0.9,179,100.0,,0.0,0.0,357,345,302,Goalkeeper,Aston Villa,12.0,333.3333333333333,0.036000000000000004,0,8,0,280,1,10,8.2,83.2,0.0,0.0,1,0,2,11,0,0,0.5577075416729999
55,54,Jaden,Philogene,2,7,45,481624.jpg,1,0.2,3,333,3,3,0.4,0.3,2.0,0,0.00,0,0.00,0.3,0.2,357,100.0,,0.0,0.0,327,309,257,Midfielder,Aston Villa,0.6666666666666666,1.6666666666666667,0.39999999999999997,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
56,55,Jacob,J.Ramsey,2,7,59,232653.jpg,0,0.0,0,673,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.1,442,0.0,0.0,0.0,0.0,673,673,671,Midfielder,Aston Villa,90.66666666666667,1903.3333333333333,0.047635726795096325,6,33,8,2634,11,135,164.7,653.4,456.0,537.8,11,5,31,0,0,0,0.5577075416729999
57,56,Morgan,Sanson,2,7,45,122775.jpg,0,0.0,0,504,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,651,0.0,0.0,0.0,0.0,494,492,461,Midfielder,Aston Villa,8.333333333333334,215.66666666666666,0.03863987635239568,0,1,0,10,0,2,0.4,4.2,0.0,0.5,0,0,0,0,0,0,0.5577075416729999
58,57,Viljami,Sinisalo,2,7,40,248164.jpg,0,0.0,0,411,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,653,0.0,0.0,0.0,0.0,400,389,349,Goalkeeper,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
59,58,Youri,Tielemans,2,7,59,166989.jpg,3,0.5,76,274,3,15,6.0,14.7,2.0,0,0.00,0,0.10,1.0,0.9,177,100.0,,0.0,0.12,291,174,271,Midfielder,Aston Villa,113.0,2775.3333333333335,0.0407158299303387,3,49,3,2341,6,86,122.1,541.8,191.0,486.9,6,4,27,0,0,1,0.5577075416729999
60,59,Bertrand,Bertrand Traoré,2,7,50,110504.jpg,1,0.2,9,631,3,3,0.0,0.0,0.0,0,0.00,0,0.00,0.3,0.0,591,100.0,100.0,0.0,0.0,627,625,612,Midfielder,Aston Villa,56.0,917.6666666666666,0.06102433708681439,2,1,0,226,1,20,19.0,82.0,79.0,30.7,1,1,1,0,0,0,0.5577075416729999
61,60,Ollie,Watkins,2,7,80,178301.jpg,15,1.9,248,59,4,40,39.4,55.8,41.0,0,1.17,3,0.16,5.0,24.0,14,100.0,,0.42,0.06,128,41,68,Attacker,Aston Villa,158.0,3135.6666666666665,0.05038800892952057,15,40,8,3129,13,175,256.7,837.6,1308.0,420.3,13,4,36,0,0,1,0.5577075416729999
62,61,Wesley,Wesley,2,7,50,213345.jpg,0,0.0,0,639,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,642,0.0,0.0,0.0,0.0,636,636,625,Attacker,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5577075416729999
63,584,Pau,Pau,2,7,45,244954.jpg,8,1.8,239,217,2,52,29.6,13.3,0.0,0,0.00,0,0.03,2.7,2.6,114,100.0,,0.0,0.01,168,179,502,Defender,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5577075416729999
64,599,Moussa,Diaby,2,7,66,243557.jpg,20,3.0,221,41,3,76,51.0,48.9,77.0,2,0.88,1,0.39,6.7,8.8,45,100.0,,0.36,0.16,84,56,34,Midfielder,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5577075416729999
65,618,Omari,Kellyman,2,7,45,549068.jpg,0,0.0,0,584,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,517,100.0,,0.0,0.0,575,575,558,Midfielder,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5577075416729999
66,670,Filip,Marschall,2,7,40,462381.jpg,0,0.0,0,429,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,645,100.0,,0.0,0.0,418,407,367,Goalkeeper,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
67,672,Nicolò,Zaniolo,2,7,55,245414.jpg,1,0.2,17,667,3,0,0.0,0.0,0.0,0,0.13,0,0.01,1.0,0.0,587,100.0,,0.69,0.05,666,667,665,Midfielder,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5577075416729999
68,686,Oliwier,Zych,2,7,40,516159.jpg,0,0.0,0,444,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,680,100.0,,0.0,0.0,434,422,383,Goalkeeper,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5577075416729999
69,62,Jaidon,Anthony,3,91,49,444180.jpg,3,0.6,151,253,3,4,9.0,4.6,16.0,0,0.07,0,0.02,1.0,0.1,390,100.0,,0.04,0.01,268,237,143,Midfielder,Bournemouth,0,0,0,3,29,1,1241,2,61,78.1,308.6,263.0,209.3,2,2,11,0,0,0,0.3348051948051948
70,63,Philip,Billing,3,91,54,168991.jpg,6,1.1,265,52,3,25,46.0,52.3,57.0,0,0.77,0,0.16,2.0,0.6,215,100.0,,0.26,0.05,98,53,53,Midfielder,Bournemouth,0,0,0,7,54,2,2766,9,126,148.4,637.4,445.0,401.1,9,5,34,0,0,0,0.3348051948051948
71,64,David,Brooks,3,91,50,111317.jpg,4,0.8,105,153,3,16,10.8,43.0,20.0,0,0.16,0,0.22,1.3,0.1,437,100.0,,0.14,0.19,256,63,125,Midfielder,Bournemouth,0,0,0,0,4,0,170,0,5,8.7,17.6,42.0,28.8,0,1,2,0,0,0,0.3348051948051948
72,65,Ryan,Christie,3,91,50,158499.jpg,5,1.0,187,136,3,20,28.0,36.9,18.0,0,0.04,0,0.18,1.7,0.0,566,100.0,100.0,0.02,0.09,179,81,130,Midfielder,Bournemouth,0,0,0,1,35,2,1825,3,64,111.1,284.2,402.0,423.5,3,2,22,0,0,0,0.3348051948051948
73,66,Lewis,L.Cook,3,91,50,155408.jpg,1,0.2,45,300,3,5,11.6,1.4,1.0,0,0.03,0,0.01,0.3,0.0,603,100.0,50.0,0.06,0.02,249,268,274,Midfielder,Bournemouth,0,0,0,0,39,2,1712,3,51,71.2,313.0,45.0,352.5,3,4,18,0,0,0,0.3348051948051948
74,67,Siriki,Siriki,3,91,45,244085.jpg,0,0.0,0,535,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,665,0.0,0.0,0.0,0.0,525,525,501,Midfielder,Bournemouth,0,0,0,0,2,0,104,0,6,11.3,31.8,28.0,52.3,0,0,0,0,0,0,0.3348051948051948
75,68,Ryan,Fredericks,3,91,44,81012.jpg,0,0.0,0,457,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,0.0,601,0.0,0.0,0.0,0.0,447,435,396,Defender,Bournemouth,15.666666666666666,464.6666666666667,0.03371592539454806,0,11,0,527,0,12,10.6,66.0,12.0,26.7,0,1,5,0,0,0,0.3348051948051948
76,69,James,Hill,3,91,40,463981.jpg,1,0.2,15,337,2,1,0.0,1.8,0.0,0,0.00,0,0.01,0.3,0.3,276,100.0,,0.0,0.06,420,258,369,Defender,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3348051948051948
