,id,first_name,web_name,team,team_code,now_cost,photo,total_points,value_season,minutes,ict_index_rank,element_type,bps,influence,creativity,threat,goals_scored,expected_goals,assists,expected_assists,form,selected_rank,chance_of_playing_next_round,chance_of_playing_this_round,position,team_name,average_points,average_minutes,avg_points_per_min,goals_scored_last_season,goals_conceded_last_season,assists_last_season,minutes_last_season,clean_sheets_last_season,total_points_last_season,ict_index_last_season,red_cards_last_season,yellow_cards_last_season,starts_last_season,saves_last_season,penalties_saved_last_season,penalties_missed_last_season,average_win_perc_first_10
10,11,Marcus,Marquinhos,1,3,45,479683.jpg,0,0.0,0,473,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,413,0,0.0,Midfielder,Arsenal,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0.6816146990264637
11,12,Gabriel,Martinelli,1,3,80,444145.jpg,5,0.6,85,37,3,23,25.4,42.5,8.0,0,0.00,1,0.22,2.5,25,100,,Midfielder,Arsenal,114.66666666666667,1742.0,0.06582472254114045,15,33,9,2789,14,198,298.1,14,3,34,0,0,0,0.6816146990264637
12,13,Eddie,Nketiah,1,3,55,205533.jpg,8,1.5,72,42,4,26,30.2,5.9,36.0,1,0.21,0,0.01,4.0,67,100,,Attacker,Arsenal,51.333333333333336,768.3333333333334,0.0668112798264642,4,16,2,1071,2,63,93.8,2,3,9,0,0,0,0.6816146990264637
13,14,Martin,Ødegaard,1,3,85,184029.jpg,2,0.2,90,86,3,11,12.0,23.4,14.0,0,0.11,0,0.09,1.0,17,100,,Midfielder,Arsenal,127.66666666666667,2258.3333333333335,0.05653136531365314,15,38,8,3132,13,212,304.9,13,4,37,0,0,0,0.6816146990264637
14,15,Thomas,Thomas,1,3,50,167199.jpg,2,0.4,90,71,3,18,23.8,27.6,2.0,0,0.00,0,0.06,1.0,251,100,,Midfielder,Arsenal,68.0,2012.0,0.033797216699801194,3,28,0,2480,11,86,121.5,11,5,28,0,0,0,0.6816146990264637
15,16,Nicolas,Pepe,1,3,50,195735.jpg,0,0.0,0,569,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,449,100,,Midfielder,Arsenal,53.0,762.3333333333334,0.0695233930913861,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
16,17,Aaron,Ramsdale,1,3,50,225321.jpg,2,0.4,90,195,1,10,12.6,0.0,0.0,0,0.00,0,0.00,1.0,21,100,,Goalkeeper,Arsenal,133.66666666666666,3300.0,0.0405050505050505,0,43,0,3420,14,143,76.5,14,1,38,94,0,0,0.6816146990264637
17,18,Rúnar Alex,Rúnarsson,1,3,40,115918.jpg,0,0.0,0,262,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,340,100,,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
18,19,Bukayo,Saka,1,3,86,223340.jpg,10,1.2,90,8,3,37,53.8,46.2,39.0,1,0.19,0,0.17,5.0,2,100,,Midfielder,Arsenal,165.0,2905.0,0.05679862306368331,14,42,12,3183,12,202,333.4,12,6,37,0,0,1,0.6816146990264637
19,20,William,Saliba,1,3,51,462424.jpg,5,1.0,90,82,2,22,33.6,13.6,2.0,0,0.00,1,0.03,2.5,16,100,,Defender,Arsenal,39.0,805.0,0.0484472049689441,2,25,1,2415,12,117,74.5,12,4,27,0,0,0,0.6816146990264637
20,21,Albert,Sambi,1,3,50,437742.jpg,0,0.0,0,596,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,588,100,,Midfielder,Arsenal,0,0,0,0,8,0,728,2,23,17.6,2,2,8,0,0,0,0.6816146990264637
21,22,Emile,Smith Rowe,1,3,54,209289.jpg,0,0.0,0,618,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,362,100,,Midfielder,Arsenal,72.33333333333333,1169.3333333333333,0.06185860889395667,0,5,2,161,0,18,16.7,0,0,0,0,0,0,0.6816146990264637
22,23,Nuno,Tavares,1,3,40,437626.jpg,0,0.0,0,311,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,281,100,,Defender,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
23,24,Kieran,Tierney,1,3,45,192895.jpg,0,0.0,0,397,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,265,100,,Defender,Arsenal,79.66666666666667,1663.0,0.047905391862096615,0,10,1,774,1,37,30.0,1,0,6,0,0,0,0.6816146990264637
24,25,Takehiro,Tomiyasu,1,3,45,223723.jpg,1,0.2,40,149,2,9,10.0,4.3,9.0,0,0.03,0,0.02,0.5,289,100,,Defender,Arsenal,0,0,0,0,11,1,651,2,32,27.7,2,2,6,0,0,0,0.6816146990264637
25,26,Leandro,Trossard,1,3,69,116216.jpg,1,0.1,17,189,3,8,5.4,10.8,0.0,0,0.00,0,0.01,0.5,78,100,,Midfielder,Arsenal,142.33333333333334,2547.3333333333335,0.055875425281339965,8,38,13,2237,8,154,225.2,8,1,26,0,0,0,0.6816146990264637
26,29,Benjamin,White,1,3,55,198869.jpg,1,0.2,90,166,2,8,10.8,7.3,2.0,0,0.00,0,0.03,0.5,41,100,,Defender,Arsenal,122.33333333333333,3042.0,0.04021477098400175,2,35,5,3054,15,156,130.8,15,5,36,0,0,0,0.6816146990264637
27,30,Granit,Xhaka,1,3,60,84450.jpg,0,0.0,0,648,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,606,0,0.0,Midfielder,Arsenal,94.33333333333333,2612.6666666666665,0.0361061495279408,7,35,8,2992,13,153,194.8,13,4,36,0,0,0,0.6816146990264637
28,31,Oleksandr,Zinchenko,1,3,50,206325.jpg,0,0.0,0,573,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,61,100,,Defender,Arsenal,75.66666666666667,1546.3333333333333,0.04893295968958828,1,28,2,2122,10,99,98.3,10,3,26,0,0,0,0.6816146990264637
29,113,David,Raya,1,3,49,154561.jpg,0,0.0,0,513,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,83,100,,Goalkeeper,Arsenal,0,0,0,0,46,0,3420,12,166,117.3,12,1,38,154,0,0,0.6816146990264637
30,540,Declan,Rice,1,3,55,204480.jpg,2,0.4,90,63,3,18,21.6,4.6,31.0,0,0.25,0,0.03,1.0,59,100,,Midfielder,Arsenal,99.0,3110.0,0.031832797427652736,4,50,3,3272,9,116,155.5,9,5,36,0,0,1,0.6816146990264637
31,578,Reiss,Nelson,1,3,50,200641.jpg,0,0.0,0,571,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,551,100,100.0,Midfielder,Arsenal,15.0,97.0,0.15463917525773196,3,3,3,202,1,42,48.0,1,0,0,0,0,0,0.6816146990264637
32,585,Jurriën,J.Timber,1,3,49,445122.jpg,0,0.0,49,519,2,3,0.0,0.0,0.0,0,0.00,0,0.01,0.0,119,0,0.0,Defender,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
33,646,Karl,Hein,1,3,40,463748.jpg,0,0.0,0,323,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,624,100,,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6816146990264637
34,32,Alexandre,Alex Moreno,2,7,50,106468.jpg,0,0.0,0,540,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,521,0,0.0,Defender,Aston Villa,0,0,0,0,10,3,1325,7,72,72.3,7,3,14,0,0,0,0.48136480908152735
35,33,Cameron,Archer,2,7,45,433979.jpg,0,0.0,0,449,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,62,100,,Attacker,Aston Villa,0,0,0,0,1,0,43,0,6,0.9,0,0,0,0,0,0,0.48136480908152735
36,34,Leon,Bailey,2,7,55,215711.jpg,1,0.2,45,222,3,-1,0.2,3.8,0.0,0,0.00,0,0.01,0.5,202,100,,Midfielder,Aston Villa,0,0,0,4,32,5,1964,8,100,132.8,8,4,26,0,0,0,0.48136480908152735
37,35,Emiliano,Buendia,2,7,59,195546.jpg,0,0.0,0,647,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,424,0,0.0,Midfielder,Aston Villa,0,0,0,5,34,3,2404,11,117,158.5,11,0,27,0,0,0,0.48136480908152735
38,36,Matty,Cash,2,7,45,199796.jpg,-1,-0.2,86,177,2,1,3.8,1.8,11.0,0,0.74,0,0.00,-0.5,48,100,,Defender,Aston Villa,97.66666666666667,2522.3333333333335,0.03872076119994714,0,29,2,1817,4,57,54.9,4,4,20,0,0,0,0.48136480908152735
39,37,Calum,Chambers,2,7,40,101184.jpg,0,0.0,0,252,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,143,100,,Defender,Aston Villa,30.333333333333332,698.3333333333334,0.04343675417661098,0,4,0,345,0,13,11.1,0,2,2,0,0,0,0.48136480908152735
40,38,Philippe,Coutinho,2,7,60,84583.jpg,1,0.2,3,221,3,3,0.0,1.8,4.0,0,0.08,0,0.01,0.5,216,100,,Midfielder,Aston Villa,0,0,0,1,9,0,777,3,32,48.8,3,3,7,0,0,0,0.48136480908152735
41,39,Keinan,Davis,2,7,50,221239.jpg,0,0.0,0,581,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,288,100,,Attacker,Aston Villa,8.0,92.0,0.08695652173913043,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
42,40,Leander,Dendoncker,2,7,49,151589.jpg,0,0.0,0,512,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,599,0,0.0,Midfielder,Aston Villa,63.333333333333336,1780.0,0.03558052434456929,0,14,0,897,4,37,30.6,4,0,9,0,0,0,0.48136480908152735
43,41,Diego Carlos,Diego Carlos,2,7,45,165659.jpg,0,0.0,26,89,2,6,9.4,0.4,37.0,0,0.27,0,0.00,0.0,233,100,,Defender,Aston Villa,0,0,0,0,3,0,205,0,4,7.0,0,0,2,0,0,0,0.48136480908152735
44,42,Lucas,Digne,2,7,45,101188.jpg,-1,-0.2,90,56,2,13,13.2,45.2,2.0,0,0.00,0,0.15,-0.5,152,100,,Defender,Aston Villa,84.33333333333333,2204.3333333333335,0.03825797671253591,1,25,0,1492,3,50,68.1,3,5,18,0,0,0,0.48136480908152735
45,43,Douglas Luiz,Douglas Luiz,2,7,55,230046.jpg,1,0.2,90,75,3,10,9.4,22.3,19.0,0,0.19,0,0.15,0.5,114,100,,Midfielder,Aston Villa,101.0,2806.0,0.03599429793300071,6,35,7,2922,13,142,162.7,13,6,33,0,0,0,0.48136480908152735
46,44,Jhon,Duran,2,7,50,476344.jpg,0,0.0,0,598,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,543,25,25.0,Attacker,Aston Villa,0,0,0,0,4,0,126,0,11,7.4,0,1,0,0,0,0,0.48136480908152735
47,45,Kortney,Hause,2,7,40,123354.jpg,0,0.0,0,266,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,327,100,,Defender,Aston Villa,17.333333333333332,342.3333333333333,0.05063291139240506,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
48,46,Tim,Iroegbunam,2,7,45,490094.jpg,0,0.0,0,482,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,547,0,0.0,Midfielder,Aston Villa,1.3333333333333333,30.0,0.04444444444444444,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
49,47,Boubacar,Kamara,2,7,50,226944.jpg,2,0.4,90,120,3,10,4.8,19.3,7.0,0,0.03,0,0.02,1.0,422,100,,Midfielder,Aston Villa,0,0,0,0,30,1,1773,3,44,45.7,3,4,21,0,0,0,0.48136480908152735
50,48,Ezri,Konsa,2,7,45,199798.jpg,0,0.0,90,190,2,16,13.2,1.3,0.0,0,0.00,0,0.01,0.0,156,100,,Defender,Aston Villa,102.33333333333333,2998.0,0.034133867022459415,0,45,0,3322,12,110,75.7,12,6,37,0,0,0,0.48136480908152735
51,49,Emiliano,Martinez,2,7,50,98980.jpg,1,0.2,90,94,1,18,45.6,0.0,0.0,0,0.00,0,0.00,0.5,47,100,,Goalkeeper,Aston Villa,150.0,3266.3333333333335,0.04592305337279314,0,38,0,3139,11,135,85.7,11,7,36,98,1,0,0.48136480908152735
52,50,John,McGinn,2,7,55,122806.jpg,2,0.4,63,171,3,6,0.8,18.1,0.0,0,0.00,0,0.03,1.0,236,100,,Midfielder,Aston Villa,104.66666666666667,3037.3333333333335,0.03446005267778753,1,31,5,2692,10,90,108.3,10,7,30,0,0,0,0.48136480908152735
53,51,Tyrone,Mings,2,7,44,149484.jpg,0,0.0,30,155,2,5,3.6,13.0,5.0,0,0.01,0,0.16,0.0,50,0,0.0,Defender,Aston Villa,125.33333333333333,3177.3333333333335,0.03944607637431808,1,40,3,3150,12,130,87.8,12,7,35,0,0,0,0.48136480908152735
54,53,Robin,Olsen,2,7,40,111782.jpg,0,0.0,0,260,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,179,100,,Goalkeeper,Aston Villa,12.0,333.3333333333333,0.036000000000000004,0,8,0,280,1,10,8.2,1,0,2,11,0,0,0.48136480908152735
55,54,Jaden,Philogene,2,7,45,481624.jpg,1,0.2,3,225,3,3,0.4,0.3,2.0,0,0.00,0,0.00,0.5,352,100,,Midfielder,Aston Villa,0.6666666666666666,1.6666666666666667,0.39999999999999997,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
56,55,Jacob,J.Ramsey,2,7,60,232653.jpg,0,0.0,0,652,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,425,0,0.0,Midfielder,Aston Villa,90.66666666666667,1903.3333333333333,0.047635726795096325,6,33,8,2634,11,135,164.7,11,5,31,0,0,0,0.48136480908152735
57,56,Morgan,Sanson,2,7,45,122775.jpg,0,0.0,0,377,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,635,0,0.0,Midfielder,Aston Villa,8.333333333333334,215.66666666666666,0.03863987635239568,0,1,0,10,0,2,0.4,0,0,0,0,0,0,0.48136480908152735
58,57,Viljami,Sinisalo,2,7,40,248164.jpg,0,0.0,0,306,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,644,0,0.0,Goalkeeper,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
59,58,Youri,Tielemans,2,7,60,166989.jpg,1,0.2,45,172,3,3,3.4,13.3,2.0,0,0.00,0,0.09,0.5,162,100,,Midfielder,Aston Villa,113.0,2775.3333333333335,0.0407158299303387,3,49,3,2341,6,86,122.1,6,4,27,0,0,1,0.48136480908152735
60,59,Bertrand,Bertrand Traoré,2,7,50,110504.jpg,0,0.0,0,544,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,598,25,25.0,Midfielder,Aston Villa,56.0,917.6666666666666,0.06102433708681439,2,1,0,226,1,20,19.0,1,1,1,0,0,0,0.48136480908152735
61,60,Ollie,Watkins,2,7,80,178301.jpg,5,0.6,90,29,4,18,32.2,23.4,29.0,0,0.23,1,0.10,2.5,13,100,,Attacker,Aston Villa,158.0,3135.6666666666665,0.05038800892952057,15,40,8,3129,13,175,256.7,13,4,36,0,0,1,0.48136480908152735
62,61,Wesley,Wesley,2,7,50,213345.jpg,0,0.0,0,576,4,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,628,0,0.0,Attacker,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
63,584,Pau,Pau,2,7,45,244954.jpg,0,0.0,59,439,2,12,0.0,0.0,0.0,0,0.00,0,0.02,0.0,113,100,,Defender,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
64,599,Moussa,Diaby,2,7,66,243557.jpg,7,1.1,86,656,3,26,0.0,0.0,0.0,1,0.36,0,0.11,3.5,43,100,,Midfielder,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
65,618,Omari,Kellyman,2,7,45,549068.jpg,0,0.0,0,507,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,522,100,,Midfielder,Aston Villa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.48136480908152735
66,62,Jaidon,Anthony,3,91,50,444180.jpg,1,0.2,59,205,3,1,5.4,1.2,2.0,0,0.00,0,0.00,0.5,385,100,,Midfielder,Bournemouth,0,0,0,3,29,1,1241,2,61,78.1,2,2,11,0,0,0,0.3028571428571428
67,63,Philip,Billing,3,91,55,168991.jpg,2,0.4,90,92,3,13,16.2,17.1,14.0,0,0.07,0,0.06,1.0,204,100,,Midfielder,Bournemouth,0,0,0,7,54,2,2766,9,126,148.4,9,5,34,0,0,0,0.3028571428571428
68,64,David,Brooks,3,91,50,111317.jpg,2,0.4,74,110,3,4,5.2,13.8,16.0,0,0.16,0,0.02,1.0,427,100,,Midfielder,Bournemouth,0,0,0,0,4,0,170,0,5,8.7,0,1,2,0,0,0,0.3028571428571428
69,65,Ryan,Christie,3,91,50,158499.jpg,2,0.4,66,112,3,8,11.4,14.8,9.0,0,0.02,0,0.03,1.0,587,100,100.0,Midfielder,Bournemouth,0,0,0,1,35,2,1825,3,64,111.1,3,2,22,0,0,0,0.3028571428571428
70,66,Lewis,L.Cook,3,91,50,155408.jpg,0,0.0,0,549,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,589,0,0.0,Midfielder,Bournemouth,0,0,0,0,39,2,1712,3,51,71.2,3,4,18,0,0,0,0.3028571428571428
71,67,Siriki,Siriki,3,91,45,244085.jpg,0,0.0,0,436,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,650,0,0.0,Midfielder,Bournemouth,0,0,0,0,2,0,104,0,6,11.3,0,0,0,0,0,0,0.3028571428571428
72,68,Ryan,Fredericks,3,91,45,81012.jpg,0,0.0,0,358,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,591,0,0.0,Defender,Bournemouth,15.666666666666666,464.6666666666667,0.03371592539454806,0,11,0,527,0,12,10.6,0,1,5,0,0,0,0.3028571428571428
73,69,James,Hill,3,91,40,463981.jpg,1,0.2,15,227,2,1,0.0,1.8,0.0,0,0.00,0,0.01,0.5,282,100,,Defender,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
74,70,Lloyd,Kelly,3,91,45,235530.jpg,0,0.0,0,429,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,621,75,75.0,Defender,Bournemouth,0,0,0,0,38,2,2040,5,60,56.3,5,3,23,0,0,0,0.3028571428571428
75,71,Gavin,Kilkenny,3,91,45,444183.jpg,0,0.0,0,456,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,457,100,,Midfielder,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
76,72,Justin,Kluivert,3,91,50,222683.jpg,1,0.2,30,582,3,2,0.0,0.0,0.0,0,0.00,0,0.01,0.5,242,100,,Midfielder,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
77,73,Jamal,Lowe,3,91,50,128309.jpg,0,0.0,0,546,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,601,100,,Midfielder,Bournemouth,0,0,0,0,0,0,11,0,2,0.1,0,0,0,0,0,0,0.3028571428571428
78,74,Emiliano,Marcondes,3,91,45,133845.jpg,0,0.0,0,378,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,533,0,0.0,Midfielder,Bournemouth,0,0,0,0,1,0,8,0,1,0.1,0,0,0,0,0,0,0.3028571428571428
79,75,Chris,Mepham,3,91,45,223911.jpg,0,0.0,30,179,2,2,5.8,11.2,0.0,0,0.00,0,0.01,0.0,456,100,,Defender,Bournemouth,0,0,0,0,52,0,2197,5,43,74.4,5,7,24,0,0,0,0.3028571428571428
80,76,Kieffer,Moore,3,91,50,128340.jpg,1,0.2,23,202,4,2,0.0,3.3,7.0,0,0.04,0,0.05,0.5,243,100,,Attacker,Bournemouth,0,0,0,4,34,0,1269,3,57,59.5,3,1,12,0,0,0,0.3028571428571428
81,77,Norberto,Neto,3,91,45,69752.jpg,2,0.4,90,192,1,11,14.0,0.0,0.0,0,0.00,0,0.01,1.0,193,100,,Goalkeeper,Bournemouth,0,0,0,0,39,0,2385,6,93,72.8,6,4,27,100,0,0,0.3028571428571428
82,78,Dango,O.Dango,3,91,49,533463.jpg,0,0.0,0,520,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,542,0,0.0,Midfielder,Bournemouth,0,0,0,1,23,3,1239,1,49,82.5,1,1,15,0,0,0,0.3028571428571428
83,79,Ben,Pearson,3,91,45,156687.jpg,0,0.0,0,383,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,662,0,0.0,Midfielder,Bournemouth,0,0,0,0,10,0,282,1,9,3.7,1,1,3,0,0,0,0.3028571428571428
84,80,Darren,Randolph,3,91,40,32259.jpg,0,0.0,0,239,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,213,100,,Goalkeeper,Bournemouth,3.3333333333333335,90.0,0.03703703703703704,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
85,81,Joe,Rothwell,3,91,50,156685.jpg,2,0.4,90,111,3,13,18.8,15.3,1.0,0,0.03,0,0.04,1.0,592,100,,Midfielder,Bournemouth,0,0,0,0,15,1,1010,3,33,30.6,3,1,12,0,0,0,0.3028571428571428
86,82,Antoine,Semenyo,3,91,45,437730.jpg,4,0.9,15,219,4,11,0.0,2.3,3.0,0,0.07,1,0.01,2.0,142,100,100.0,Attacker,Bournemouth,0,0,0,1,6,0,250,0,18,10.7,0,0,2,0,0,0,0.3028571428571428
87,83,Marcos,Senesi,3,91,45,221466.jpg,1,0.2,59,178,2,9,16.2,0.5,0.0,0,0.00,0,0.02,0.5,381,100,,Defender,Bournemouth,0,0,0,2,55,0,2489,5,69,79.6,5,7,29,0,0,0,0.3028571428571428
88,84,Adam,Smith,3,91,45,54469.jpg,0,0.0,0,350,2,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,585,0,0.0,Defender,Bournemouth,0,0,0,0,58,1,2940,7,74,78.3,7,11,34,0,0,0,0.3028571428571428
89,85,Dominic,Solanke,3,91,65,154566.jpg,7,1.1,90,11,4,22,40.6,23.0,72.0,1,0.98,0,0.14,3.5,107,100,,Attacker,Bournemouth,0,0,0,6,52,10,2865,8,130,185.7,8,2,32,0,0,0,0.3028571428571428
90,86,Marcus,Tavernier,3,91,55,201658.jpg,0,0.0,0,631,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,590,0,0.0,Midfielder,Bournemouth,0,0,0,5,37,4,1740,5,94,124.2,5,1,19,0,0,0,0.3028571428571428
91,87,Hamed,Hamed Traorè,3,91,50,424044.jpg,0,0.0,0,593,3,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,579,100,,Midfielder,Bournemouth,0,0,0,0,8,0,425,2,14,33.8,2,0,5,0,0,0,0.3028571428571428
92,88,Mark,Travers,3,91,40,229600.jpg,0,0.0,0,296,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,361,0,0.0,Goalkeeper,Bournemouth,0,0,0,0,32,0,1035,2,28,29.1,2,0,11,36,0,0,0.3028571428571428
93,89,Illia,Zabarnyi,3,91,45,477580.jpg,2,0.4,90,180,2,11,15.4,1.2,0.0,0,0.00,0,0.01,1.0,434,100,,Defender,Bournemouth,0,0,0,0,5,0,297,0,7,5.8,0,0,3,0,0,0,0.3028571428571428
94,595,Milos,Kerkez,3,91,45,544877.jpg,2,0.4,90,505,2,11,0.0,0.0,0.0,0,0.00,0,0.05,1.0,310,100,,Defender,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
95,607,Ionuț,Radu,3,91,45,215531.jpg,0,0.0,0,407,1,0,0.0,0.0,0.0,0,0.00,0,0.00,0.0,421,100,,Goalkeeper,Bournemouth,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.3028571428571428
